state,fiscal_year,quarter,gsdp_current_prices_cr,gsdp_constant_prices_cr,growth_rate_yoy
Maharashtra,2024-25,Q3,1085420,724500,7.8
Tamil Nadu,2024-25,Q3,684200,458900,8.2
Gujarat,2024-25,Q3,652100,441200,8.4
Karnataka,2024-25,Q3,638900,432800,7.9
Uttar Pradesh,2024-25,Q3,612400,398700,8.9
West Bengal,2024-25,Q3,432100,289600,6.5
Rajasthan,2024-25,Q3,389500,256400,7.1
Telangana,2024-25,Q3,378900,264100,8.6
Andhra Pradesh,2024-25,Q3,365200,248900,7.4
Madhya Pradesh,2024-25,Q3,342100,229800,7.6
Bihar,2024-25,Q3,228400,149200,9.1
Punjab,2024-25,Q3,195600,128900,5.8
Haryana,2024-25,Q3,289400,198500,7.7
Kerala,2024-25,Q3,276500,182400,6.2
Odisha,2024-25,Q3,218900,148600,7.3
